REWARD PER EPISODE FOR Q-LEARNING

Reward for episode 1: -3058.
Reward for episode 2: -3255.
Reward for episode 3: -297.
Reward for episode 4: -1017.
Reward for episode 5: -633.
Reward for episode 6: -1297.
Reward for episode 7: -1166.
Reward for episode 8: -516.
Reward for episode 9: -499.
Reward for episode 10: -1697.
Reward for episode 11: -149.
Reward for episode 12: -1536.
Reward for episode 13: -395.
Reward for episode 14: -682.
Reward for episode 15: -713.
Reward for episode 16: -2330.
Reward for episode 17: -1048.
Reward for episode 18: -178.
Reward for episode 19: -30.
Reward for episode 20: -1809.
Reward for episode 21: -40.
Reward for episode 22: -75.
Reward for episode 23: 88.
Reward for episode 24: -74.
Reward for episode 25: 26.
Reward for episode 26: 33.
Reward for episode 27: 32.
Reward for episode 28: 11.
Reward for episode 29: -122.
Reward for episode 30: 24.
Reward for episode 31: 79.
Reward for episode 32: 34.
Reward for episode 33: 37.
Reward for episode 34: -16.
Reward for episode 35: 38.
Reward for episode 36: 85.
Reward for episode 37: 85.
Reward for episode 38: -24.
Reward for episode 39: 84.
Reward for episode 40: 90.
Reward for episode 41: 89.
Reward for episode 42: 87.
Reward for episode 43: 89.
Reward for episode 44: 90.
Reward for episode 45: 36.
Reward for episode 46: 80.
Reward for episode 47: 84.
Reward for episode 48: 90.
Reward for episode 49: 86.
Reward for episode 50: 84.
Reward for episode 51: 87.
Reward for episode 52: 86.
Reward for episode 53: 91.
Reward for episode 54: 88.
Reward for episode 55: 33.
Reward for episode 56: 35.
Reward for episode 57: -31.
Reward for episode 58: 86.
Reward for episode 59: 80.
Reward for episode 60: 91.
Reward for episode 61: 87.
Reward for episode 62: 83.
Reward for episode 63: 86.
Reward for episode 64: 80.
Reward for episode 65: 86.
Reward for episode 66: 29.
Reward for episode 67: 85.
Reward for episode 68: 81.
Reward for episode 69: 84.
Reward for episode 70: -20.
Reward for episode 71: 84.
Reward for episode 72: 39.
Reward for episode 73: 85.
Reward for episode 74: 90.
Reward for episode 75: 81.
Reward for episode 76: 91.
Reward for episode 77: 91.
Reward for episode 78: 90.
Reward for episode 79: 87.
Reward for episode 80: 86.
Reward for episode 81: 88.
Reward for episode 82: 90.
Reward for episode 83: 90.
Reward for episode 84: -15.
Reward for episode 85: 83.
Reward for episode 86: 77.
Reward for episode 87: 91.
Reward for episode 88: 81.
Reward for episode 89: 86.
Reward for episode 90: 86.
Reward for episode 91: 91.
Reward for episode 92: 87.
Reward for episode 93: 87.
Reward for episode 94: 91.
Reward for episode 95: 91.
Reward for episode 96: 87.
Reward for episode 97: 91.
Reward for episode 98: 88.
Reward for episode 99: 89.
Reward for episode 100: 89.
Reward for episode 101: 89.
Reward for episode 102: 89.
Reward for episode 103: 90.
Reward for episode 104: 91.
Reward for episode 105: 91.
Reward for episode 106: 91.
Reward for episode 107: 91.
Reward for episode 108: 83.
Reward for episode 109: 89.
Reward for episode 110: 39.
Reward for episode 111: 86.
Reward for episode 112: 78.
Reward for episode 113: 74.
Reward for episode 114: 86.
Reward for episode 115: 80.
Reward for episode 116: 87.
Reward for episode 117: 89.
Reward for episode 118: 23.
Reward for episode 119: 87.
Reward for episode 120: 89.
Reward for episode 121: 89.
Reward for episode 122: 89.
Reward for episode 123: 89.
Reward for episode 124: 91.
Reward for episode 125: 91.
Reward for episode 126: 86.
Reward for episode 127: 88.
Reward for episode 128: 88.
Reward for episode 129: 89.
Reward for episode 130: 87.
Reward for episode 131: 89.
Reward for episode 132: -12.
Reward for episode 133: 89.
Reward for episode 134: 91.
Reward for episode 135: 88.
Reward for episode 136: 91.
Reward for episode 137: 59.
Reward for episode 138: 72.
Reward for episode 139: 57.
Reward for episode 140: 84.
Reward for episode 141: 74.
Reward for episode 142: 80.
Reward for episode 143: 89.
Reward for episode 144: 89.
Reward for episode 145: 87.
Reward for episode 146: 91.
Reward for episode 147: 90.
Reward for episode 148: 91.
Reward for episode 149: 89.
Reward for episode 150: 89.
Reward for episode 151: 89.
Reward for episode 152: 87.
Reward for episode 153: 89.
Reward for episode 154: 89.
Reward for episode 155: 90.
Reward for episode 156: 91.
Reward for episode 157: 90.
Reward for episode 158: 91.
Reward for episode 159: 89.
Reward for episode 160: 27.
Reward for episode 161: 82.
Reward for episode 162: 19.
Reward for episode 163: 84.
Reward for episode 164: 89.
Reward for episode 165: 82.
Reward for episode 166: 85.
Reward for episode 167: 88.
Reward for episode 168: 85.
Reward for episode 169: 89.
Reward for episode 170: 86.
Reward for episode 171: 86.
Reward for episode 172: 89.
Reward for episode 173: 78.
Reward for episode 174: -23.
Reward for episode 175: 21.
Reward for episode 176: 86.
Reward for episode 177: 89.
Reward for episode 178: 90.
Reward for episode 179: 90.
Reward for episode 180: 90.
Reward for episode 181: 72.
Reward for episode 182: 91.
Reward for episode 183: 87.
Reward for episode 184: 90.
Reward for episode 185: 88.
Reward for episode 186: 90.
Reward for episode 187: 84.
Reward for episode 188: 86.
Reward for episode 189: 88.
Reward for episode 190: 85.
Reward for episode 191: 89.
Reward for episode 192: 90.
Reward for episode 193: 88.
Reward for episode 194: 82.
Reward for episode 195: 89.
Reward for episode 196: 91.
Reward for episode 197: 89.
Reward for episode 198: 90.
Reward for episode 199: 90.
Reward for episode 200: 88.
Reward for episode 201: 38.
Reward for episode 202: 83.
Reward for episode 203: 89.
Reward for episode 204: 85.
Reward for episode 205: 91.
Reward for episode 206: 91.
Reward for episode 207: 89.
Reward for episode 208: 91.
Reward for episode 209: 90.
Reward for episode 210: 91.
Reward for episode 211: 87.
Reward for episode 212: 89.
Reward for episode 213: 36.
Reward for episode 214: 90.
Reward for episode 215: 89.
Reward for episode 216: 90.
Reward for episode 217: 91.
Reward for episode 218: 90.
Reward for episode 219: 91.
Reward for episode 220: 89.
Reward for episode 221: 88.
Reward for episode 222: 88.
Reward for episode 223: 88.
Reward for episode 224: 81.
Reward for episode 225: 91.
Reward for episode 226: 90.
Reward for episode 227: 87.
Reward for episode 228: 34.
Reward for episode 229: 90.
Reward for episode 230: 88.
Reward for episode 231: -13.
Reward for episode 232: 90.
Reward for episode 233: 86.
Reward for episode 234: 89.
Reward for episode 235: 89.
Reward for episode 236: 91.
Reward for episode 237: 89.
Reward for episode 238: 89.
Reward for episode 239: 90.
Reward for episode 240: 87.
Reward for episode 241: 88.
Reward for episode 242: 89.
Reward for episode 243: 89.
Reward for episode 244: 90.
Reward for episode 245: 89.
Reward for episode 246: 90.
Reward for episode 247: 89.
Reward for episode 248: 90.
Reward for episode 249: 89.
Reward for episode 250: 90.
Reward for episode 251: 87.
Reward for episode 252: 88.
Reward for episode 253: 90.
Reward for episode 254: 89.
Reward for episode 255: 91.
Reward for episode 256: 90.
Reward for episode 257: 89.
Reward for episode 258: 87.
Reward for episode 259: 89.
Reward for episode 260: 36.
Reward for episode 261: 91.
Reward for episode 262: 90.
Reward for episode 263: 89.
Reward for episode 264: 91.
Reward for episode 265: 90.
Reward for episode 266: 89.
Reward for episode 267: 88.
Reward for episode 268: 89.
Reward for episode 269: 91.
Reward for episode 270: 89.
Reward for episode 271: 90.
Reward for episode 272: 89.
Reward for episode 273: 89.
Reward for episode 274: 88.
Reward for episode 275: 85.
Reward for episode 276: 91.
Reward for episode 277: 89.
Reward for episode 278: 39.
Reward for episode 279: 90.
Reward for episode 280: 90.
Reward for episode 281: 88.
Reward for episode 282: 89.
Reward for episode 283: 91.
Reward for episode 284: 90.
Reward for episode 285: 89.
Reward for episode 286: 86.
Reward for episode 287: 90.
Reward for episode 288: 90.
Reward for episode 289: 91.
Reward for episode 290: 90.
Reward for episode 291: 91.
Reward for episode 292: 89.
Reward for episode 293: 91.
Reward for episode 294: 86.
Reward for episode 295: 91.
Reward for episode 296: 91.
Reward for episode 297: 90.
Reward for episode 298: 91.
Reward for episode 299: 91.
Reward for episode 300: 90.
Reward for episode 301: 88.
Reward for episode 302: 90.
Reward for episode 303: 91.
Reward for episode 304: 89.
Reward for episode 305: 90.
Reward for episode 306: 91.
Reward for episode 307: 90.
Reward for episode 308: 89.
Reward for episode 309: 91.
Reward for episode 310: 90.
Reward for episode 311: 89.
Reward for episode 312: 90.
Reward for episode 313: 90.
Reward for episode 314: 90.
Reward for episode 315: 90.
Reward for episode 316: 91.
Reward for episode 317: 89.
Reward for episode 318: 89.
Reward for episode 319: 87.
Reward for episode 320: 90.
Reward for episode 321: 88.
Reward for episode 322: 91.
Reward for episode 323: 91.
Reward for episode 324: 91.
Reward for episode 325: 90.
Reward for episode 326: 91.
Reward for episode 327: 90.
Reward for episode 328: 89.
Reward for episode 329: 89.
Reward for episode 330: 86.
Reward for episode 331: 90.
Reward for episode 332: 89.
Reward for episode 333: 90.
Reward for episode 334: 90.
Reward for episode 335: 89.
Reward for episode 336: 90.
Reward for episode 337: 91.
Reward for episode 338: 85.
Reward for episode 339: 89.
Reward for episode 340: 91.
Reward for episode 341: 90.
Reward for episode 342: 38.
Reward for episode 343: 88.
Reward for episode 344: 87.
Reward for episode 345: 89.
Reward for episode 346: 90.
Reward for episode 347: 91.
Reward for episode 348: 89.
Reward for episode 349: 89.
Reward for episode 350: 91.
Reward for episode 351: 87.
Reward for episode 352: 90.
Reward for episode 353: 88.
Reward for episode 354: 87.
Reward for episode 355: 90.
Reward for episode 356: 91.
Reward for episode 357: 89.
Reward for episode 358: 86.
Reward for episode 359: 90.
Reward for episode 360: 89.
Reward for episode 361: 88.
Reward for episode 362: 87.
Reward for episode 363: 90.
Reward for episode 364: 91.
Reward for episode 365: 91.
Reward for episode 366: 90.
Reward for episode 367: 89.
Reward for episode 368: 88.
Reward for episode 369: 90.
Reward for episode 370: 90.
Reward for episode 371: 90.
Reward for episode 372: 91.
Reward for episode 373: 87.
Reward for episode 374: 91.
Reward for episode 375: 89.
Reward for episode 376: 90.
Reward for episode 377: 89.
Reward for episode 378: 88.
Reward for episode 379: 82.
Reward for episode 380: 91.
Reward for episode 381: 90.
Reward for episode 382: 89.
Reward for episode 383: 88.
Reward for episode 384: 89.
Reward for episode 385: 89.
Reward for episode 386: 90.
Reward for episode 387: 91.
Reward for episode 388: 90.
Reward for episode 389: 90.
Reward for episode 390: 90.
Reward for episode 391: 89.
Reward for episode 392: 86.
Reward for episode 393: 91.
Reward for episode 394: 90.
Reward for episode 395: 90.
Reward for episode 396: 89.
Reward for episode 397: 90.
Reward for episode 398: 91.
Reward for episode 399: 87.
Reward for episode 400: 86.
Reward for episode 401: 90.
Reward for episode 402: 89.
Reward for episode 403: 91.
Reward for episode 404: 88.
Reward for episode 405: 38.
Reward for episode 406: 91.
Reward for episode 407: 90.
Reward for episode 408: 91.
Reward for episode 409: 90.
Reward for episode 410: 87.
Reward for episode 411: 89.
Reward for episode 412: 91.
Reward for episode 413: 89.
Reward for episode 414: 84.
Reward for episode 415: 86.
Reward for episode 416: 91.
Reward for episode 417: 79.
Reward for episode 418: 84.
Reward for episode 419: 89.
Reward for episode 420: 90.
Reward for episode 421: 89.
Reward for episode 422: 90.
Reward for episode 423: 91.
Reward for episode 424: 91.
Reward for episode 425: 89.
Reward for episode 426: 87.
Reward for episode 427: 87.
Reward for episode 428: 39.
Reward for episode 429: 90.
Reward for episode 430: 87.
Reward for episode 431: 88.
Reward for episode 432: 84.
Reward for episode 433: 88.
Reward for episode 434: 80.
Reward for episode 435: 83.
Reward for episode 436: 91.
Reward for episode 437: 90.
Reward for episode 438: 90.
Reward for episode 439: 91.
Reward for episode 440: 91.
Reward for episode 441: 91.
Reward for episode 442: 90.
Reward for episode 443: 89.
Reward for episode 444: 85.
Reward for episode 445: 85.
Reward for episode 446: 91.
Reward for episode 447: 90.
Reward for episode 448: 91.
Reward for episode 449: 91.
Reward for episode 450: 89.
Reward for episode 451: 90.
Reward for episode 452: 90.
Reward for episode 453: 85.
Reward for episode 454: 89.
Reward for episode 455: 88.
Reward for episode 456: 91.
Reward for episode 457: 90.
Reward for episode 458: 90.
Reward for episode 459: 91.
Reward for episode 460: 91.
Reward for episode 461: 90.
Reward for episode 462: 89.
Reward for episode 463: 91.
Reward for episode 464: 89.
Reward for episode 465: 90.
Reward for episode 466: 90.
Reward for episode 467: 67.
Reward for episode 468: 86.
