REWARD PER EPISODE FOR SARSA

Reward for episode 1: -4792.
Reward for episode 2: -1374.
Reward for episode 3: -1047.
Reward for episode 4: -1567.
Reward for episode 5: -767.
Reward for episode 6: 17.
Reward for episode 7: -2253.
Reward for episode 8: -2538.
Reward for episode 9: -1114.
Reward for episode 10: -2695.
Reward for episode 11: -1297.
Reward for episode 12: -202.
Reward for episode 13: -1595.
Reward for episode 14: -245.
Reward for episode 15: -815.
Reward for episode 16: -1636.
Reward for episode 17: -2941.
Reward for episode 18: -544.
Reward for episode 19: -1056.
Reward for episode 20: -2074.
Reward for episode 21: -1154.
Reward for episode 22: -464.
Reward for episode 23: -320.
Reward for episode 24: -327.
Reward for episode 25: -411.
Reward for episode 26: -117.
Reward for episode 27: -137.
Reward for episode 28: 86.
Reward for episode 29: 51.
Reward for episode 30: -479.
Reward for episode 31: -750.
Reward for episode 32: -13.
Reward for episode 33: -129.
Reward for episode 34: 21.
Reward for episode 35: -418.
Reward for episode 36: -148.
Reward for episode 37: -92.
Reward for episode 38: 42.
Reward for episode 39: 19.
Reward for episode 40: -28.
Reward for episode 41: -1137.
Reward for episode 42: -124.
Reward for episode 43: -173.
Reward for episode 44: -151.
Reward for episode 45: -150.
Reward for episode 46: -31.
Reward for episode 47: -298.
Reward for episode 48: 10.
Reward for episode 49: -408.
Reward for episode 50: -599.
Reward for episode 51: -636.
Reward for episode 52: -95.
Reward for episode 53: -278.
Reward for episode 54: -20.
Reward for episode 55: -218.
Reward for episode 56: -76.
Reward for episode 57: -63.
Reward for episode 58: -516.
Reward for episode 59: -81.
Reward for episode 60: -531.
Reward for episode 61: -143.
Reward for episode 62: 29.
Reward for episode 63: 53.
Reward for episode 64: -87.
Reward for episode 65: -892.
Reward for episode 66: -203.
Reward for episode 67: -582.
Reward for episode 68: -278.
Reward for episode 69: -182.
Reward for episode 70: -129.
Reward for episode 71: -599.
Reward for episode 72: -28.
Reward for episode 73: -347.
Reward for episode 74: -139.
Reward for episode 75: -274.
Reward for episode 76: -492.
Reward for episode 77: 53.
Reward for episode 78: 18.
Reward for episode 79: 54.
Reward for episode 80: -608.
Reward for episode 81: -283.
Reward for episode 82: -377.
Reward for episode 83: -6.
Reward for episode 84: -723.
Reward for episode 85: -107.
Reward for episode 86: -477.
Reward for episode 87: -454.
Reward for episode 88: -243.
Reward for episode 89: -202.
Reward for episode 90: -29.
Reward for episode 91: -144.
Reward for episode 92: 22.
Reward for episode 93: -59.
Reward for episode 94: -36.
Reward for episode 95: -98.
Reward for episode 96: 57.
Reward for episode 97: 75.
Reward for episode 98: -293.
Reward for episode 99: -238.
Reward for episode 100: -690.
Reward for episode 101: -498.
Reward for episode 102: -26.
Reward for episode 103: -1.
Reward for episode 104: 47.
Reward for episode 105: -3.
Reward for episode 106: 21.
Reward for episode 107: 28.
Reward for episode 108: 13.
Reward for episode 109: 55.
Reward for episode 110: 71.
Reward for episode 111: 65.
Reward for episode 112: -121.
Reward for episode 113: -50.
Reward for episode 114: -662.
Reward for episode 115: -103.
Reward for episode 116: -44.
Reward for episode 117: -426.
Reward for episode 118: 69.
Reward for episode 119: -33.
Reward for episode 120: -326.
Reward for episode 121: -18.
Reward for episode 122: -1050.
Reward for episode 123: -1050.
Reward for episode 124: -367.
Reward for episode 125: 66.
Reward for episode 126: -122.
Reward for episode 127: 26.
Reward for episode 128: -52.
Reward for episode 129: 64.
Reward for episode 130: -225.
Reward for episode 131: -221.
Reward for episode 132: -137.
Reward for episode 133: 74.
Reward for episode 134: 27.
Reward for episode 135: -67.
Reward for episode 136: -5.
Reward for episode 137: -418.
Reward for episode 138: 26.
Reward for episode 139: -180.
Reward for episode 140: -5.
Reward for episode 141: -170.
Reward for episode 142: -1050.
